Luís Silva;David Pereira;1
David Pereira;Miguel A. Vega-Rodríguez;1
Miguel A. Vega-Rodríguez;David Pereira;1
David Pereira;Patricio Domingues;1
Patricio Domingues;David Pereira;1
David Pereira;Renato Vale;1
Renato Vale;David Pereira;1
David Pereira;Sílvio Mendes;1
Sílvio Mendes;David Pereira;1
David Santiago;Attila Marosi;1
Attila Marosi;David Santiago;1
David Santiago;Diogo Ferreira;1
Diogo Ferreira;David Santiago;1
David Santiago;Etienne Urbah;1
Etienne Urbah;David Santiago;1
David Santiago;Filipe Araujo;1
Filipe Araujo;David Santiago;1
David Santiago;Gábor Gombás;1
Gábor Gombás;David Santiago;1
David Santiago;Jorge Farinha;1
Jorge Farinha;David Santiago;1
David Santiago;Luís Silva;1
Luís Silva;David Santiago;1
David Santiago;Oleg Lodygensky;1
Oleg Lodygensky;David Santiago;1
David Santiago;Patricio Domingues;1
Patricio Domingues;David Santiago;1
David Santiago;Péter Kacsuk;1
Péter Kacsuk;David Santiago;1
David Santiago;Zoltán Balaton;1
Zoltán Balaton;David Santiago;1
David Santiago;Zoltán Farkas;1
Zoltán Farkas;David Santiago;1
Decio Sousa;Luís Silva;3
Luís Silva;Decio Sousa;3
Decio Sousa;Nuno M. Rodrigues;1
Nuno M. Rodrigues;Decio Sousa;1
Decio Sousa;Nuno Moreno;1
Nuno Moreno;Decio Sousa;1
Decio Sousa;Sébastien Tixeuil;1
Sébastien Tixeuil;Decio Sousa;1
Decio Sousa;William  Hoarau;1
William  Hoarau;Decio Sousa;1
Derrik Kondo;Filipe Araujo;5
Filipe Araujo;Derrik Kondo;5
Derrik Kondo;Franck Capello;1
Franck Capello;Derrik Kondo;1
Derrik Kondo;Gheorghe Cosmin Silaghi;1
Gheorghe Cosmin Silaghi;Derrik Kondo;1
Derrik Kondo;Gilles Fedak;1
Gilles Fedak;Derrik Kondo;1
Derrik Kondo;Jorge Farinha;1
Jorge Farinha;Derrik Kondo;1
Derrik Kondo;Luís Silva;4
Luís Silva;Derrik Kondo;4
Derrik Kondo;Patricio Domingues;5
Patricio Domingues;Derrik Kondo;5
Derrik Kondo;Paul Malecot;1
Paul Malecot;Derrik Kondo;1
Diamantino Costa;Henrique Madeira;2
Henrique Madeira;Diamantino Costa;2
Diamantino Costa;Luis Henriques;1
Luis Henriques;Diamantino Costa;1
